wallet,username,tier,score,mints
0x75775181080b3684cc3be770ba070d1ecc1ec50d,tut,Legend,265100,20
0x76500b6a6c640ae7b695ef049f20d24a2ca476df,uncle,Legend,105100,20
0x4ac9a97b3edb3f11b5ca91d8de9468cf4882a7af,debuddha,Whale,60350,10
0x0619e9c5e7ac9f1c831eddea02f4b19f32a7d272,Sickaspen,Whale,56300,10
0x5c75ed5beb9a43b68fae73706908b2fdf497f4a0,zeus,Whale,55450,10
0x654deb4deb0c7481b7af084c4896d635f20ca648,paulnty,Whale,44250,10
0x0fd7e54a44146a4e42f325444c488f721e1bec47,Awais,Whale,39000,10
0x127d27713ab64494d1b7bec0b2d6223cc0c66fe6,d00bs,Whale,35500,10
0xad64d9211b2ce1d8f671ed8c4d60bf77c52ed0cd,Attricus,Whale,34650,10
0x3cae83edac8296ee33293a80c6ba0f01741d245f,Gerryscrypto,Whale,34100,10
0x50fc97cfd7e6f40bad44699c347e1d35bc0bc744,Dexter,Whale,33850,10
0xe88369236cd06c7075733acb19473730ec8331fe,syrup,Whale,32300,10
0xb2f9b85b8ad7e2ba37c076501b03b842c1409878,dino,Whale,31100,10
0x2f2699e359500f5de8ace81567a165dba99a2be2,Dzen,Whale,30850,10
0x207d4af00d8a52c57abecc0cac0684a4199598cf,v101,Whale,30450,10
0x7e36c0afa568c014a3c0d88a8cb0b83219a3a13a,Broncinbuck,Whale,29350,10
0x82de411ab5e6fb97d5cb81d53d559ae25e611457,Gh0stcutt3r,Whale,26950,10
0x546ea1ee5ae23b6085170e82430af87e1f7787c5,Isaic,Whale,25350,10
0x622c3f5c509a8f1319bb5f851e7b609628d43b95,woodsy,Collector,24250,3
0x3da7b8a0353fb926168a2464ffc4160be49b903b,nilyass,Collector,23950,3
0xb970545635d336883f55ebd5e72aabd63c1524f7,sharkmeme,Collector,22450,3
0xd53f450865fc6ea2d9bf38231aac358eeb137c84,happylolohappy,Collector,21550,3
0xffe296bbbc86dfac056b42c6180d9f8b4cb412aa,dub,Collector,21450,3
0x7e69aa5c7a4a9f7e37594c3da71a918c218ea401,aranya,Collector,18950,3
0x82982c3b947988d4b3d8c0f15865b1312f8e3cc3,Bantam,Collector,18450,3
0x4d43b234b645972785f11c56bd5bf078aa9468cd,tjgeez,Collector,18000,3
0x20286b5a70d9d96fe60162855bfdccaea591d5d3,Schlorki,Collector,17500,3
0xca4c63ca6c9b9a45b8b296733151fa034144c182,Jadedsun1,Collector,16500,3
0x1099dee69872abcc57397072782f111d8afb7e9d,goldberg,Collector,15000,3
0x6afae90037a9e02ccd72ceeb1781d0d190172c84,bunnykins,Collector,14500,3
0xa41d7cca4f220c286cf1b6d408882aca4dd3130d,knightt,Collector,14000,3
0x7c54b32219fa879bff62e55d00a81c9b59c1fc99,gay,Collector,13500,3
0x0824dd5cc7e27a1fb400e9e54baaf3bf8da793d0,RedKroh,Collector,13500,3
0x688847fc6addd42f176080ed2081bbb67c276408,CrazyNorth,Collector,13400,3
0xba5bea299050d786118ad6326e1a9c2a7cfba71e,Zera,Collector,13000,3
0x99db44a434089abf7d5238f9683394405119572e,Dennis,Collector,12600,3
0x1f38fa918c8e565f3065fca9882723fbc2c92c38,mikalaila,Collector,12500,3
0xec7fb8075a8f06be74c3a02fabb410395341b96c,slowmode,Collector,12300,3
0x4032ab8d5cced1444240c7b973f36d712981fb00,mozzy,Collector,11500,3
0x7509edcb562d473244f22376424fb49473fd8055,Pitoc,Collector,11450,3
0x6a52f2b1ea5082bfadbe90ffc83cbd813cfdc0ef,Lynx,Collector,11000,3
0x1b4862f983aa573518b612f1bb1579f4b02796cb,0xjack,Collector,11000,3
0x95eaf995f5e095586214b1f5c0e3c3a2508d866d,archivum,Collector,10850,3
0x9a1e90c4a6bc896b4fefd019bd4f3a67cfcea544,Salman,Collector,10850,3
0xf53edfaa94fdddbaf744195f56957919596134ad,MCG,Collector,10450,3
0x557bc5ba884d990f543d332c41c5361305d9b086,b086,Collector,8000,3
0x49d37bea89a69d29892da2483302e429092a4809,xander,Collector,6100,3
0x3d6f6043ffc09ad396535cdfacb6e4bc47668e02,kvaka65,Collector,6100,3
0x89043fb8c59509602c370f83c9ab6008f88f6aa4,philthy,Collector,5600,3
0x3aedb97569ad578038498af46f071045b1f36476,0xvinhpham,Collector,5500,3
0xedc5c453d846f11b8112d0aa3359ea29393b8c63,Maydo,Collector,5500,3
0x194175b405822622f1784b9e13f8ffb24b283721,CrypLykos,Collector,5500,3
0xa2b2f10a3c542fed3a53654cca97d34f628f55e3,Major,Collector,5500,3
0x608f099e29c2c3ac0a612593823d0ff82f156256,slim,Collector,5500,3
0xde5054899e767c3f3ff362f94da545642ba03f3c,ezybrezy,Collector,5000,3
